Reporter,region,Year,ProductCode,Product Description,usd,tons,usd_kg,tons_esp,tons_usa,tons_can,tons_ita,tons_aus,tons_oth,usd_esp,usd_usa,usd_can,usd_ita,usd_aus,usd_oth,usd_kg_esp,usd_kg_usa,usd_kg_ita,usd_kg_can,usd_kg_aus,usd_kg_oth
Chile,South America,2023,121410,Lucerne (alfalfa) meal and pellets,1346.43,6159.87,0.2186,0.0,0.0,0.0,0.0,0.0,6159.87,0.0,0.0,0.0,0.0,0.0,1346.43,,,,,,0.2186
Croatia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,1129.72,3571.58,0.3163,0.0,0.0,0.0,655.66,0.0,2915.92,0.0,0.0,0.0,243.99,0.0,885.73,,,0.3721,,,0.3038
Panama,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,1101.92,2377.04,0.4636,0.0,269.018,0.0,0.0,0.0,2108.022,0.0,209.19,0.0,0.0,0.0,892.73,,0.7776,,,,0.4235
Israel,Middle East,2023,121410,Lucerne (alfalfa) meal and pellets,1063.07,2605.63,0.408,151.965,0.0,0.0,2451.21,0.0,2.4549999999999272,62.0,0.0,0.0,1000.07,0.0,0.9999999999997726,0.408,,0.408,,,0.4073
Malaysia,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,907.29,1738.1,0.522,0.0,354.537,118.58,252.69,310.86,701.433,0.0,265.5,76.62,118.17,145.17,301.8299999999999,,0.7489,0.4676,0.6461,0.467,0.4303
Italy,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,839.94,1903.04,0.4414,0.26,0.0,0.0,0.0,0.0,1902.78,2.24,0.0,0.0,0.0,0.0,837.7,8.6154,,,,,0.4403
Hungary,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,838.4,3486.43,0.2405,94.52,0.0,0.0,0.0,0.0,3391.91,33.67,0.0,0.0,0.0,0.0,804.73,0.3562,,,,,0.2372
New Zealand,Oceania,2023,121410,Lucerne (alfalfa) meal and pellets,783.72,790.875,0.991,0.0,0.0,0.0,0.0,753.825,37.049999999999955,0.0,0.0,0.0,0.0,443.24,340.48,,,,,0.588,9.1897
Slovenia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,702.43,1928.21,0.3643,0.0,0.0,0.0,980.06,0.0,948.1500000000001,0.0,0.0,0.0,367.26,0.0,335.16999999999996,,,0.3747,,,0.3535
Brazil,South America,2023,121410,Lucerne (alfalfa) meal and pellets,685.02,2334.79,0.2934,0.0,0.552,0.0,0.0,0.0,2334.238,0.0,0.16,0.0,0.0,0.0,684.86,,0.2899,,,,0.2934
South Africa,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,488.32,3800.77,0.1285,0.0,0.231,0.0,0.0,0.0,3800.5389999999998,0.0,0.95,0.0,0.0,0.0,487.37,,4.1126,,,,0.1282
Slovakia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,472.06,1084.23,0.4354,0.0,0.0,0.0,670.84,0.0,413.39,0.0,0.0,0.0,252.97,0.0,219.09,,,0.3771,,,0.53
Poland,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,471.92,1696.35,0.2782,0.058,0.0,0.0,25.1,0.0,1671.192,0.02,0.0,0.0,9.27,0.0,462.63,0.3448,,0.3693,,,0.2768
Spain,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,446.01,2147.133,0.2077,0.0,0.0,0.0,101.884,0.0,2045.2489999999998,0.0,0.0,0.0,38.58,0.0,407.43,,,0.3787,,,0.1992
Romania,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,435.67,1527.04,0.2853,0.0,0.0,0.0,13.981,0.0,1513.059,0.0,0.0,0.0,23.67,0.0,412.0,,,1.693,,,0.2723
Uruguay,South America,2023,121410,Lucerne (alfalfa) meal and pellets,364.67,1310.8,0.2782,0.0,0.0,0.0,0.0,0.0,1310.8,0.0,0.0,0.0,0.0,0.0,364.67,,,,,,0.2782
Czech Republic,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,328.1,2550.77,0.1286,0.065,0.0,0.0,204.261,0.0,2346.444,0.05,0.0,0.0,89.67,0.0,238.38000000000002,0.7692,,0.439,,,0.1016
Serbia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,311.72,823.918,0.3783,0.0,0.0,0.0,177.18,0.0,646.738,0.0,0.0,0.0,76.57,0.0,235.15000000000003,,,0.4322,,,0.3636
Canada,North America,2023,121410,Lucerne (alfalfa) meal and pellets,260.53,279.266,0.9329,0.0,277.854,0.0,0.0,0.0,1.4120000000000346,0.0,258.25,0.0,0.0,0.0,2.2799999999999727,,0.9294,,,,1.6147
Namibia,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,254.44,751.448,0.3386,0.0,0.0,0.0,0.0,20.0,731.448,0.0,0.0,0.0,0.0,14.88,239.56,,,,,0.744,0.3275
Philippines,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,230.1,563.977,0.408,84.177,0.0,0.0,150.36,303.105,26.334999999999923,34.34,0.0,0.0,61.34,123.66,10.759999999999991,0.4079,,0.408,,0.408,0.4086
Singapore,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,221.38,273.84,0.8084,0.0,146.07,0.0,0.0,33.27,94.49999999999997,0.0,107.42,0.0,0.0,26.36,87.6,,0.7354,,,0.7923,0.927
Bosnia and Herzegovina,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,209.57,664.29,0.3155,0.0,0.0,0.0,95.84,0.0,568.4499999999999,0.0,0.0,0.0,31.5,0.0,178.07,,,0.3287,,,0.3133
Guatemala,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,178.48,301.559,0.5919,0.0,40.692,0.0,0.0,0.0,260.867,0.0,42.9,0.0,0.0,0.0,135.57999999999998,,1.0543,,,,0.5197
Ireland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,173.54,371.299,0.4674,2.539,0.034,0.0,0.0,0.0,368.726,1.48,0.08,0.0,0.0,0.0,171.98,0.5829,2.3529,,,,0.4664
Hong Kong (China),East Asia,2023,121410,Lucerne (alfalfa) meal and pellets,170.32,233.0,0.731,0.0,0.0,0.0,0.0,226.0,7.0,0.0,0.0,0.0,0.0,165.52,4.799999999999983,,,,,0.7324,0.6857
Iceland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,162.55,227.31,0.7151,0.0,0.0,0.0,0.0,0.0,227.31,0.0,0.0,0.0,0.0,0.0,162.55,,,,,,0.7151
Finland,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,157.17,255.412,0.6154,0.0,0.002,2.538,0.0,0.0,252.872,0.0,0.04,5.13,0.0,0.0,152.0,,,,2.0213,,0.6011
Latvia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,121.84,337.0,0.3615,0.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,121.84,,,,,,0.3615
Barbados,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,89.87,101.221,0.8879,0.0,11.674,0.0,0.0,0.0,89.547,0.0,10.83,0.0,0.0,0.0,79.04,,0.9277,,,,0.8827
Moldova,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,88.42,368.885,0.2397,0.0,0.0,0.0,0.0,0.0,368.885,0.0,0.0,0.0,0.0,0.0,88.42,,,,,,0.2397
Bulgaria,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,81.89,341.26,0.24,0.0,0.0,0.0,0.0,0.0,341.26,0.0,0.0,0.0,0.0,0.0,81.89,,,,,,0.24
Australia,Oceania,2023,121410,Lucerne (alfalfa) meal and pellets,75.36,62.95,1.1971399999999999,0.0,17.0,0.0,0.0,0.0,45.949999999999996,0.0,12.49,0.0,0.0,0.0,62.87,,0.73471,,,,1.36823
Estonia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,72.76,160.197,0.4542,0.0,0.0,0.0,0.0,0.0,160.197,0.0,0.0,0.0,0.0,0.0,72.76,,,,,,0.4542
Luxembourg,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,54.85,115.285,0.4758,0.0,0.0,0.0,0.0,0.0,115.285,0.0,0.0,0.0,0.0,0.0,54.85,,,,,,0.4758
Turkey,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,35.98,92.297,0.3898,0.0,0.0,0.0,0.0,0.0,92.297,0.0,0.0,0.0,0.0,0.0,35.98,,,,,,0.3898
Montenegro,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,35.49,126.86,0.2798,0.0,0.0,0.0,0.0,0.0,126.86,0.0,0.0,0.0,0.0,0.0,35.49,,,,,,0.2798
Aruba,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,32.27,42.381099999999996,0.7614,0.0,17.601,0.0,0.0,0.0,24.780099999999997,0.0,19.79,0.0,0.0,0.0,12.480000000000004,,1.1244,,,,0.5036
Zimbabwe,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,27.43,63.2,0.434,0.0,0.0,0.0,0.0,0.0,63.2,0.0,0.0,0.0,0.0,0.0,27.43,,,,,,0.434
Georgia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,21.46,55.86,0.3842,0.0,0.0,0.0,55.86,0.0,0.0,0.0,0.0,0.0,21.46,0.0,0.0,,,0.3842,,,
Grenada,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,19.79,20.557,0.9627,0.0,20.557,0.0,0.0,0.0,0.0,0.0,19.79,0.0,0.0,0.0,0.0,,0.9627,,,,
India,Central Asia,2023,121410,Lucerne (alfalfa) meal and pellets,17.98,27.6,0.6514,0.0,0.0,0.0,6.0,0.0,21.6,0.0,0.0,0.0,3.04,0.0,14.940000000000001,,,0.5067,,,0.6917
Kazakhstan,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,17.1,120.0,0.1425,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,17.1,,,,,,0.1425
Sri Lanka,Central Asia,2023,121410,Lucerne (alfalfa) meal and pellets,15.31,24.88,0.6154,24.88,0.0,0.0,0.0,0.0,0.0,15.31,0.0,0.0,0.0,0.0,0.0,0.6154,,,,,
Mauritius,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,14.36,24.38,0.589,21.88,0.0,0.0,0.0,0.0,2.5,13.22,0.0,0.0,0.0,0.0,1.1399999999999988,0.6042,,,,,0.456
Brunei,Southeast Asia,2023,121410,Lucerne (alfalfa) meal and pellets,13.89,17.75,0.7825,0.0,0.0,0.0,0.0,17.75,0.0,0.0,0.0,0.0,0.0,13.89,0.0,,,,,0.7825,
Paraguay,South America,2023,121410,Lucerne (alfalfa) meal and pellets,12.76,56.7,0.225,0.0,0.0,0.0,0.0,0.0,56.7,0.0,0.0,0.0,0.0,0.0,12.76,,,,,,0.225
Tanzania,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,11.06,24.58,0.45,24.58,0.0,0.0,0.0,0.0,0.0,11.06,0.0,0.0,0.0,0.0,0.0,0.45,,,,,
Argentina,South America,2023,121410,Lucerne (alfalfa) meal and pellets,9.21,28.0,0.3289,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,9.21,,,,,,0.3289
Armenia,Eastern Europe,2023,121410,Lucerne (alfalfa) meal and pellets,8.01,20.0977,0.3986,0.0,0.0,0.0,0.0,0.0,20.0977,0.0,0.0,0.0,0.0,0.0,8.01,,,,,,0.3986
Andorra,Western Europe,2023,121410,Lucerne (alfalfa) meal and pellets,6.69,19.59,0.3415,19.59,0.0,0.0,0.0,0.0,0.0,6.69,0.0,0.0,0.0,0.0,0.0,0.3415,,,,,
Bolivia,South America,2023,121410,Lucerne (alfalfa) meal and pellets,4.97,12.1866,0.4078,0.0,0.0,0.0,0.0,0.0,12.1866,0.0,0.0,0.0,0.0,0.0,4.97,,,,,,0.4078
Antigua and Barbuda,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,1.33,0.62826,2.117,0.0,0.628,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,,2.1178,,,,
Mozambique,Sub-Saharan Africa,2023,121410,Lucerne (alfalfa) meal and pellets,1.0,3.53102,0.2832,0.0,0.0,0.0,0.0,0.0,3.53102,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.2832
Fiji,Oceania,2023,121410,Lucerne (alfalfa) meal and pellets,0.19,0.026,7.3077,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.19,0.0,,,,,7.3077,
Montserrat,Central America and Caribbean,2023,121410,Lucerne (alfalfa) meal and pellets,0.03,0.01,3.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,,3.0,,,,
United Arab Emirates,Middle East,2022,121410,Lucerne (alfalfa) meal and pellets,219785.84,748809.0,0.2935,228581.0,1486.53,0.0,270137.0,0.0,248604.46999999997,74673.09,526.2,0.0,79099.99,0.0,65486.56,0.3267,0.354,0.2928,,,0.2634
Japan,East Asia,2022,121410,Lucerne (alfalfa) meal and pellets,35718.09,83776.0,0.4264,5483.0,7886.0,29192.0,37856.0,0.0,3359.0,1874.12,3705.85,13822.59,14844.98,0.0,1470.550000000003,0.3418,0.4699,0.3921,0.4735,,0.4378
United States,North America,2022,121410,Lucerne (alfalfa) meal and pellets,27207.9,64267.0,0.4234,0.0,0.0,52110.0,0.0,9.0,12148.0,0.0,0.0,20905.88,0.0,64.79,6237.23,,,,0.4012,7.1989,0.5134
Germany,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,22878.43,82761.4,0.2764,0.392,0.0,0.001,5012.34,0.0,77748.66699999999,0.1,0.0,0.0,1585.53,0.0,21292.8,0.2551,,0.3163,,,0.2739
Qatar,Middle East,2022,121410,Lucerne (alfalfa) meal and pellets,22660.78,51210.9,0.4425,10543.0,6390.34,0.0,3533.05,0.0,30744.510000000002,3846.64,3947.5,0.0,1527.16,0.0,13339.48,0.3649,0.6177,0.4322,,,0.4339
Jordan,Middle East,2022,121410,Lucerne (alfalfa) meal and pellets,18599.8,54268.4,0.3427,31666.5,15303.2,0.0,617.361,0.0,6681.339000000007,10853.29,5244.96,0.0,211.59,0.0,2289.959999999999,0.3427,0.3427,0.3427,,,0.3427
United Kingdom,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,16371.23,46857.5,0.3494,1515.55,0.0,0.0,33430.9,0.0,11911.049999999996,610.46,0.0,0.0,11974.69,0.0,3786.079999999998,0.4028,,0.3582,,,0.3179
Belgium,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,15651.52,59585.0,0.2627,27.817,0.3,0.0,0.0,0.0,59556.883,10.98,0.49,0.0,0.0,0.0,15640.050000000001,0.3947,1.6333,,,,0.2626
Other Asia,Other Asia,2022,121410,Lucerne (alfalfa) meal and pellets,13014.65,28632.9,0.4545,2723.86,21734.5,3272.51,744.97,142.67,14.389999999999418,933.32,10287.75,1481.2,234.19,70.37,7.81999999999789,0.3426,0.4733,0.3144,0.4526,0.4932,0.5434
Lesotho,Sub-Saharan Africa,2022,121410,Lucerne (alfalfa) meal and pellets,12518.09,22433.9,0.558,0.0,0.0,0.0,0.0,0.0,22433.9,0.0,0.0,0.0,0.0,0.0,12518.09,,,,,,0.558
Greece,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,11856.31,36231.6,0.3272,1298.16,0.0,0.0,9091.86,0.0,25841.579999999998,452.38,0.0,0.0,3536.26,0.0,7867.669999999999,0.3485,,0.3889,,,0.3045
China,East Asia,2022,121410,Lucerne (alfalfa) meal and pellets,11326.93,37238.9,0.3042,26889.7,253.472,0.0,8630.72,0.0,1465.0080000000016,8152.08,134.83,0.0,2654.44,0.0,385.5799999999999,0.3032,0.5319,0.3076,,,0.2632
Oman,Middle East,2022,121410,Lucerne (alfalfa) meal and pellets,9635.31,28112.8,0.3427,0.0,12293.0,0.0,4129.0,0.0,11690.8,0.0,4213.28,0.0,1415.16,0.0,4006.87,,0.3427,0.3427,,,0.3427
Netherlands,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,9235.64,36771.4,0.2512,970.083,0.0,0.025,1294.62,0.0,34506.672,256.0,0.0,1.61,312.54,0.0,8665.49,0.2639,,0.2414,,,0.2511
South Korea,East Asia,2022,121410,Lucerne (alfalfa) meal and pellets,9145.27,28056.0,0.326,16425.3,178.812,249.34,8037.56,0.0,3164.9879999999976,5214.89,86.39,109.21,2721.24,0.0,1013.54,0.3175,0.4831,0.3386,0.438,,0.3202
Portugal,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,9092.88,42796.5,0.2125,42796.4,0.0,0.0,0.047,0.0,0.052999999999883585,9092.59,0.0,0.0,0.04,0.0,0.249999999998181,0.2125,,0.8511,,,4.717
France,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,8540.27,36006.418,0.2372,34362.6,0.003,0.501,185.724,0.0,1457.5900000000038,7945.47,0.23,0.12,58.71,0.0,535.7400000000007,0.2312,,0.3161,0.2395,,0.3676
Kuwait,Middle East,2022,121410,Lucerne (alfalfa) meal and pellets,5516.86,16096.5,0.3427,830.26,381.546,0.0,1605.1,0.0,13279.594000000001,284.56,130.77,0.0,550.13,0.0,4551.4,0.3427,0.3427,0.3427,,,0.3427
Austria,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,5035.24,18317.1,0.2749,156.1,0.0,0.0,10362.0,0.0,7798.999999999998,43.84,0.0,0.0,2595.81,0.0,2395.5899999999997,0.2808,,0.2505,,,0.3072
Switzerland,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,3625.99,11522.1,0.3147,0.0,0.0,0.0,1126.96,0.0,10395.14,0.0,0.0,0.0,378.88,0.0,3247.1099999999997,,,0.3362,,,0.3124
Denmark,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,3073.23,8133.63,0.3778,0.0,0.0,0.0,6098.11,0.0,2035.5200000000004,0.0,0.0,0.0,2367.45,0.0,705.7800000000002,,,0.3882,,,0.3467
Chile,South America,2022,121410,Lucerne (alfalfa) meal and pellets,2383.65,10593.7,0.225,0.0,0.0,0.0,0.0,0.0,10593.7,0.0,0.0,0.0,0.0,0.0,2383.65,,,,,,0.225
Norway,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,2325.58,5887.42,0.395,1343.34,0.0,0.0,129.07,0.0,4415.01,419.5,0.0,0.0,64.95,0.0,1841.1299999999999,0.3123,,0.5032,,,0.417
Cyprus,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,2290.07,6665.94,0.3435,0.0,0.0,0.0,5816.01,0.0,849.9299999999994,0.0,0.0,0.0,1919.01,0.0,371.0600000000002,,,0.33,,,0.4366
Sweden,Western Europe,2022,121410,Lucerne (alfalfa) meal and pellets,1997.87,3914.13,0.5104,0.0,0.0,0.0,640.0,0.0,3274.13,0.0,0.0,0.0,320.93,0.0,1676.9399999999998,,,0.5015,,,0.5122
Morocco,North Africa,2022,121410,Lucerne (alfalfa) meal and pellets,1907.9,7326.69,0.2604,4463.42,0.0,0.0,0.0,0.0,2863.2699999999995,1066.42,0.0,0.0,0.0,0.0,841.48,0.2389,,,,,0.2939
